Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U ,HP,16 GB,15% ,4.3,67590,80314,AMD,AMD Ryzen 5 Hexa Core Processor
DELL Core i5 12th Gen ,DELL,8GB,24% ,4.2,54530,72180,Processor:,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,8 GB,32% ,4.0,35990,52990,Intel,Intel Core i3 Processor (11th Gen)
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,35% ,4.3,104990,162290,AMD,AMD Ryzen 7 Octa Core Processor
HP Pavilion Ryzen 5 Hexa Core 5625U ,HP,16 GB,21% ,4.4,57790,73539,AMD,AMD Ryzen 5 Hexa Core Processor
ASUS Vivobook 15 Core i5 12th Gen ,ASUS,8 GB,29% ,4.5,49990,70990,Intel,Intel Core i5 Processor (12th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600H ",ASUS,16 GB,16% ,4.3,62990,74990,AMD,AMD Ryzen 5 Hexa Core Processor
HP Omen Ryzen 7 Ryzen 7 Octa Core 6800H ,HP,16 GB,24% ,4.2,91199,121355,AMD,AMD Ryzen 7 Octa Core Processor
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen ,Lenovo,16 GB,26% ,4.0,67990,92290,Intel,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 14 (2023) Core i5 13th Gen ,ASUS,16 GB,20% ,4.4,63990,79990,Intel,Intel Core i5 Processor (13th Gen)
HP 15s (2023) Ryzen 5 Quad Core 7520U ,HP,16 GB,12% ,4.6,54499,62527,AMD,AMD Ryzen 5 Quad Core Processor
ASUS Zenbook 14X OLED Ryzen 7 Octa Core 5800H ,ASUS,16 GB,24% ,4.0,74990,98990,AMD,AMD Ryzen 7 Octa Core Processor
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
ASUS Vivobook 15X (2023) Core i5 13th Gen ,ASUS,16 GB,19% ,4.1,64990,80990,Intel,Intel Core i5 Processor (13th Gen)
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U ,ASUS,16 GB,25% ,4.4,55990,74990,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,28% ,4.1,22990,32295,Intel,Intel Celeron Dual Core Processor
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,ASUS,16 GB,31% ,4.4,87990,128990,AMD,AMD Ryzen 7 Octa Core Processor
HP 15s (2023) Intel Core i5 12th Gen ,HP,8 GB,16% ,4.1,58990,70822,Intel,Intel Core i5 Processor (12th Gen)
ASUS ROG Flow Z13 (2022) Core i5 12th Gen ,ASUS,16 GB,50% ,3.5,89990,179990,Intel,Intel Core i5 Processor (12th Gen)
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen ,SAMSUNG,16 GB,20% ,4.4,79990,99990,Intel,Intel Core i5 Processor (13th Gen)
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U ,Lenovo,16 GB,44% ,4.3,47990,86290,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,35% ,4.3,43990,68490,AMD,AMD Ryzen 5 Hexa Core Processor
HP Laptop Ryzen 3 Quad Core 5300U ,HP,8 GB,21% ,4.4,37990,48419,AMD,AMD Ryzen 3 Quad Core Processor
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U ,ASUS,16 GB,20% ,4.2,59990,74990,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo Ryzen 3 Quad Core 7320U ,Lenovo,8 GB,32% ,4.2,39990,59390,AMD,AMD Ryzen 3 Quad Core Processor
Lenovo Thinkbook Core i5 12th Gen ,Lenovo,8 GB,18% ,4.2,52190,64029,Intel,Intel Core i5 Processor (12th Gen)
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,29% ,4.4,84990,120290,AMD,AMD Ryzen 7 Octa Core Processor
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,30% ,4.4,42990,61990,AMD,AMD Ryzen 3 Quad Core Processor
APPLE 2022 MacBook Pro M2 ,APPLE,8 GB,7% ,4.8,137990,149900,Apple,Apple M2 Processor
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,15% ,4.0,50990,60090,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,41% ,4.2,34990,60090,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,39% ,4.1,39990,66390,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad 3 Intel Core i3 10th Gen ,Lenovo,8 GB,39% ,4.3,33990,56590,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook S 14 Intel EVO H,ASUS,16 GB,26% ,4.2,63990,86990,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen ,Lenovo,8 GB,37% ,4.1,39990,64290,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad Slim 5 Intel Core i7 12th Gen ,Lenovo,16 GB,34% ,4.1,80990,123090,Intel,Intel Core i7 Processor (12th Gen)
MSI Core i3 12th Gen ,MSI,8 GB,32% ,4.2,39990,58990,Intel,Intel Core i3 Processor (12th Gen)
"ASUS Vivobook 16X (2023) For Creator, Intel H",ASUS,16 GB,23% ,4.2,70990,92990,Intel,Intel Core i5 Processor (12th Gen)
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,ASUS,16 GB,31% ,4.4,87990,128990,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,26% ,4.3,51990,70790,Intel,Intel Core i5 Processor (11th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,36% ,4.5,73990,116090,AMD,AMD Ryzen 7 Octa Core Processor
ASUS ROG Flow Z13 (2022) Core i7 12th Gen ,ASUS,16 GB,42% ,4.3,123990,215990,Intel,Intel Core i7 Processor (12th Gen)
APPLE 2020 Macbook Air M1 ,APPLE,8 GB,17% ,4.7,81990,99900,Apple,Apple M1 Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
HP Ryzen 5 Hexa Core 5500U ,HP,16 GB,18% ,4.2,48490,59241,AMD,AMD Ryzen 5 Hexa Core Processor
HP 14s Intel Celeron Dual Core ,HP,8 GB,18% ,3.8,29990,36865,Intel,Intel Celeron Dual Core Processor
SAMSUNG Galaxy Book 2 Core i5 12th Gen ,SAMSUNG,8 GB,16% ,4.2,56990,67990,Intel,Intel Core i5 Processor (12th Gen)
ASUS VivoBook 15 (2021) Core i5 10th Gen ,ASUS,8 GB,29% ,4.3,45990,64990,Intel,Intel Core i5 Processor (10th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
HP Victus Ryzen 5 Hexa Core 5600H ,HP,8 GB,21% ,4.4,59450,76021,AMD,AMD Ryzen 5 Hexa Core Processor
Acer Aspire 7 Core i5 12th Gen ,Acer,16 GB,23% ,3.4,69000,89999,Intel,Intel Core i5 Processor (12th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
APPLE 2022 MacBook Pro M2 ,APPLE,8 GB,7% ,4.5,119990,129900,Apple,Apple M2 Processor
DELL Inspiron Core i5 12th Gen ,DELL,16GB,18% ,4.0,82000,100393,Processor:,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,38% ,4.2,37490,61390,Intel,Intel Core i3 Processor (11th Gen)
DELL Core i9 12th Gen ,DELL,16GB,26% ,4.9,138990,190052,Processor:,Processor: Intel i9-12900H (Base- 3.80 GHz & Turbo up to 5.0 GHz) 14 Cores
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.2,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,Lenovo,8 GB,30% ,4.5,71990,103490,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,26% ,4.4,61990,83890,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,ASUS,16 GB,26% ,4.4,63990,86990,AMD,AMD Ryzen 7 Octa Core Processor
DELL Ryzen 5 Hexa Core AMD R5,DELL,8 GB,33% ,3.9,66990,101448,AMD,AMD Ryzen 5 Hexa Core Processor
DELL Inspiron Ryzen 5 Dual Core 3450U ,DELL,8GB,27% ,4.2,44990,62422,Processor:,Processor: AMD Ryzen 5-3450U (2.10 GHz up to 3.50 GHz)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
MSI Core i5 11th Gen ,MSI,8 GB,22% ,4.3,62990,80990,Intel,Intel Core i5 Processor (11th Gen)
"ASUS Vivobook Pro 15 For Creator, Ryzen 7 Octa Core 5800H ",ASUS,16 GB,15% ,4.2,74990,88990,AMD,AMD Ryzen 7 Octa Core Processor
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen ,SAMSUNG,8 GB,20% ,4.5,74990,93990,Intel,Intel Core i5 Processor (13th Gen)
APPLE 2023 MacBook Pro M2 Max ,APPLE,32 GB,7% ,4.2,285490,309900,Apple,Apple M2 Max Processor
HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U ,HP,16 GB,14% ,4.9,78379,91616,AMD,AMD Ryzen 7 Octa Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
HP Athlon Dual Core 3050U ,HP,8 GB,28% ,4.0,30999,43500,AMD,AMD Athlon Dual Core Processor
APPLE 2020 Macbook Air M1 ,APPLE,8 GB,17% ,4.7,81990,99900,Apple,Apple M1 Processor
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.2,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen ,SAMSUNG,16 GB,20% ,4.6,89990,112990,Intel,Intel Core i7 Processor (13th Gen)
HP Pavilion x360 (2023) Intel Core i5 13th Gen ,HP,16 GB,14% ,4.1,78999,92746,Intel,Intel Core i5 Processor (13th Gen)
MSI Core i5 12th Gen ,MSI,8 GB,32% ,4.1,45990,67990,Intel,Intel Core i5 Processor (12th Gen)
SAMSUNG Galaxy Book 2 Core i5 12th Gen ,SAMSUNG,8 GB,16% ,4.2,56990,67990,Intel,Intel Core i5 Processor (12th Gen)
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,Lenovo,8 GB,27% ,4.4,55990,76890,AMD,AMD Ryzen 5 Hexa Core Processor
Acer Aspire 7 (2023) Core i5 12th Gen ,Acer,16 GB,27% ,4.1,64990,89999,Intel,Intel Core i5 Processor (12th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Acer Extensa Core i3 11th Gen ,Acer,8 GB,27% ,3.4,34990,47999,Intel,Intel Core i3 Processor (11th Gen)
HP Pavilion Plus Creator OLED Eyesafe (2023) Intel H,HP,16 GB,15% ,4.3,96490,114220,Intel,Intel Core i7 Processor (12th Gen)
MSI Sword 15 Core i5 12th Gen ,MSI,16 GB,18% ,4.7,79990,98390,Intel,Intel Core i5 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
DELL Inspiron Core i3 11th Gen ,DELL,8 GB,26% ,3.4,44490,60837,Intel,Intel Core i3 Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
DELL Inspiron Ryzen 3 Dual Core 3250U ,DELL,8 GB,25% ,4.1,36990,49613,AMD,AMD Ryzen 3 Dual Core Processor
ASUS Vivobook 15 Core i3 12th Gen ,ASUS,8 GB,31% ,4.2,38990,56990,Intel,Intel Core i3 Processor (12th Gen)
ASUS TUF GAMING A15 Ryzen 7 Octa Core 4800H ,ASUS,16 GB,29% ,4.3,71990,101990,AMD,AMD Ryzen 7 Octa Core Processor
ASUS Vivobook Go 15 (2023) Ryzen 5 Quad Core 7520U ,ASUS,8 GB,31% ,3.9,42990,62990,AMD,AMD Ryzen 5 Quad Core Processor
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.3,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
HP Pavillion x360 convertible Intel Core i5 12th Gen ,HP,16 GB,16% ,4.3,72990,87095,Intel,Intel Core i5 Processor (12th Gen)
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,ASUS,16 GB,26% ,4.4,63990,86990,AMD,AMD Ryzen 7 Octa Core Processor
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
Acer Aspire 7 Core i5 12th Gen ,Acer,16 GB,23% ,3.4,69000,89999,Intel,Intel Core i5 Processor (12th Gen)
APPLE 2022 MacBook Pro M2 ,APPLE,8 GB,7% ,4.5,119990,129900,Apple,Apple M2 Processor
HP 15s Intel Core i3 11th Gen ,HP,8 GB,23% ,4.1,41299,53900,Intel,Intel Core i3 Processor (11th Gen)
HP G8 Core i3 11th Gen ,HP,8 GB,18% ,4.3,35490,43763,Intel,Intel Core i3 Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
HP Victus Ryzen 5 Hexa Core 5600H ,HP,8 GB,21% ,4.4,59450,76021,AMD,AMD Ryzen 5 Hexa Core Processor
DELL Inspiron Athlon Dual Core 3050U ,DELL,8GB,27% ,4.2,33500,46263,Processor:,Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,Lenovo,8 GB,30% ,4.5,71990,103490,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad 5 Intel Core i5 11th Gen ,Lenovo,16 GB,33% ,4.3,59990,90490,Intel,Intel Core i5 Processor (11th Gen)
DELL Athlon Dual Core 3050U ,DELL,8GB,32% ,4.0,29990,44630,Processor:,Processor: AMD Athlon Silver 3050U (Base- 2.30 GHz & Turbo up to 3.20 GHz) 2 Cores
HP Pavilion Intel Core i3 11th Gen ,HP,8 GB,14% ,4.3,54490,63362,Intel,Intel Core i3 Processor (11th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U ,ASUS,8 GB,25% ,4.2,55990,74990,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,38% ,4.2,37490,61390,Intel,Intel Core i3 Processor (11th Gen)
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,28% ,4.1,22990,32295,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,ASUS,16 GB,26% ,4.4,63990,86990,AMD,AMD Ryzen 7 Octa Core Processor
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7,ASUS,16 GB,36% ,4.8,117990,184990,AMD,AMD Ryzen 7 Octa Core Processor
ASUS Vivobook 14 (2023) Core i5 13th Gen ,ASUS,8 GB,20% ,4.4,59990,74990,Intel,Intel Core i5 Processor (13th Gen)
ASUS Vivobook Go 15 OLED (2023) Ryzen 5 Quad Core 7520U ,ASUS,16 GB,26% ,4.2,58990,79990,AMD,AMD Ryzen 5 Quad Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Acer Predator (2023) Core i7 13th Gen ,Acer,16 GB,14% ,5.0,164990,191999,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
DELL Core i5 12th Gen ,DELL,8 GB,26% ,4.2,67990,92390,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,26% ,4.4,61990,83890,AMD,AMD Ryzen 5 Hexa Core Processor
HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U ,HP,16 GB,15% ,4.3,67990,80314,AMD,AMD Ryzen 5 Hexa Core Processor
"ASUS Vivobook 14X OLED (2023) For Creator, Intel H",ASUS,16 GB,25% ,4.5,82990,110990,Intel,Intel Core i5 Processor (13th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
Lenovo V15 G2 Core i3 11th Gen ,Lenovo,8 GB,30% ,4.2,40990,59390,Intel,Intel Core i3 Processor (11th Gen)
APPLE 2023 MacBook Pro M2 Pro ,APPLE,16 GB,7% ,4.0,248490,269900,Apple,Apple M2 Pro Processor
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.3,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
MSI Core i7 12th Gen ,MSI,16 GB,14% ,4.4,91990,106990,Intel,Intel Core i7 Processor (12th Gen)
ASUS Core i5 10th Gen ,ASUS,8 GB,20% ,4.2,51990,64990,Intel,Intel Core i5 Processor (10th Gen)
Lenovo IdeaPad Slim 3 Intel Celeron Dual Core ,Lenovo,8 GB,24% ,3.9,29490,38900,Intel,Intel Celeron Dual Core Processor
DELL Core i5 12th Gen ,DELL,8 GB,26% ,4.8,69490,94075,Intel,Intel Core i5 Processor (12th Gen)
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
Acer Nitro 5 (2023) Ryzen 5 Hexa Core 7535HS ,Acer,8 GB,24% ,4.5,72990,96999,AMD,AMD Ryzen 5 Hexa Core Processor
DELL Vostro Core i3 10th Gen ,DELL,8 GB,26% ,4.1,40690,55444,Intel,Intel Core i3 Processor (10th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
DELL Ryzen 5 Hexa Core 5600H ,DELL,8 GB,34% ,4.5,66990,101681,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad Slim 3 Intel Celeron Dual Core ,Lenovo,8 GB,24% ,3.9,29490,38900,Intel,Intel Celeron Dual Core Processor
ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX ,ASUS,32 GB,13% ,4.2,414990,479990,AMD,AMD Ryzen 9 16 Core Processor
MSI Core i5 12th Gen ,MSI,16 GB,16% ,4.2,92990,111990,Intel,Intel Core i5 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
DELL Inspiron Core i5 11th Gen ,DELL,8 GB,20% ,4.2,71857,89902,Intel,Intel Core i5 Processor (11th Gen)
ASUS Zenbook 14 OLED (2023) Intel EVO P,ASUS,16 GB,19% ,4.6,97990,120990,Intel,Intel Core i5 Processor (13th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.3,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
ASUS Zenbook 14 OLED Touch Intel EVO P,ASUS,16 GB,19% ,5.0,92990,114990,Intel,Intel Core i5 Processor (12th Gen)
HP Victus Ryzen 7 Octa Core 5800H ,HP,16 GB,23% ,4.2,107990,140347,AMD,AMD Ryzen 7 Octa Core Processor
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,40% ,4.2,29990,49990,Intel,Intel Core i3 Processor (10th Gen)
Lenovo V15 Core i5 11th Gen ,Lenovo,8 GB,39% ,4.0,48990,81450,Intel,Intel Core i5 Processor (11th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
