Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
Lenovo IdeaPad 3 Intel Celeron Dual Core 4th Gen ,Lenovo,4 GB,38% ,4.0,24990,40490,Intel,Intel Celeron Dual Core Processor (4th Gen)
HP 247 G8 Athlon Dual Core AMD Athlon P3045B ,HP,8 GB,32% ,3.7,22490,33267,AMD,AMD Athlon Dual Core Processor
Acer Aspire 3 Dual Core 3020e ,Acer,4 GB,34% ,4.1,22900,34990,AMD,AMD Dual Core Processor
ASUS Celeron Dual Core 10th Gen ,ASUS,4 GB,35% ,4.2,23990,36990,Intel,Intel Celeron Dual Core Processor (10th Gen)
Lenovo IdeaPad 3 CB Celeron Dual Core ,Lenovo,4 GB,31% ,3.5,23990,34890,Intel,Intel Celeron Dual Core Processor
Acer One 11 Celeron Dual Core ,Acer,4 GB,40% ,4.2,21490,35999,Intel,Intel Celeron Dual Core Processor
Lenovo IdeaPad 1 Intel Celeron Dual Core ,Lenovo,4 GB,29% ,3.7,24590,34890,Intel,Intel Celeron Dual Core Processor
HP intel Celeron Dual Core ,HP,4 GB,33% ,3.7,20990,31531,Intel,Intel Celeron Dual Core Processor
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
Acer Chromebook Celeron Dual Core ,Acer,4 GB,20% ,3.5,21490,27000,Intel,Intel Celeron Dual Core Processor
HP 247 G8 Athlon Dual Core AMD Athlon P3045B ,HP,8 GB,28% ,3.7,23790,33267,AMD,AMD Athlon Dual Core Processor
ASUS Celeron Dual Core ,ASUS,4 GB,32% ,3.7,20990,30990,Intel,Intel Celeron Dual Core Processor
Acer Aspire 3 Pentium Silver ,Acer,4 GB,22% ,4.2,25490,32990,Intel,Intel Pentium Silver Processor
ASUS Celeron Dual Core 10th Gen ,ASUS,4 GB,35% ,2.3,23750,36990,Intel,Intel Celeron Dual Core Processor (10th Gen)
Lenovo E41 APU Dual Core A6 A6,Lenovo,4 GB,24% ,3.6,24500,32600,AMD,AMD APU Dual Core A6 Processor
ASUS Celeron Dual Core ,ASUS,4 GB,32% ,3.7,20990,30990,Intel,Intel Celeron Dual Core Processor
Acer Aspire 3 Pentium Silver ,Acer,4 GB,22% ,4.2,25490,32990,Intel,Intel Pentium Silver Processor
